ts: 0.000, i: -0.037720, j: 0.353943, k: -0.014282, real: 0.934387, acc: 3.141602
ts: 39.930, i: -0.028870, j: 0.361389, k: -0.010559, real: 0.931885, acc: 3.141602
ts: 74.777, i: -0.024658, j: 0.366028, k: -0.007751, real: 0.930237, acc: 3.141602
ts: 137.761, i: -0.026917, j: 0.372559, k: -0.002991, real: 0.927612, acc: 3.141602
ts: 172.441, i: -0.026428, j: 0.374512, k: -0.001831, real: 0.926819, acc: 3.141602
ts: 205.119, i: -0.024597, j: 0.376282, k: -0.002625, real: 0.926208, acc: 3.141602
ts: 257.704, i: -0.025146, j: 0.377258, k: -0.002319, real: 0.925781, acc: 3.141602
ts: 295.315, i: -0.024780, j: 0.379272, k: -0.002014, real: 0.924927, acc: 3.141602
ts: 335.300, i: -0.020691, j: 0.380859, k: -0.002075, real: 0.924377, acc: 3.141602
ts: 372.792, i: -0.018372, j: 0.382324, k: -0.001099, real: 0.923828, acc: 3.141602
ts: 405.819, i: -0.015991, j: 0.382385, k: -0.000183, real: 0.923828, acc: 3.141602
ts: 465.705, i: -0.013916, j: 0.382874, k: 0.000122, real: 0.923706, acc: 3.141602
ts: 505.586, i: -0.009277, j: 0.385559, k: 0.000671, real: 0.922607, acc: 3.141602
ts: 543.656, i: -0.002136, j: 0.390015, k: 0.000122, real: 0.920776, acc: 3.141602
ts: 598.761, i: 0.003784, j: 0.393738, k: -0.002258, real: 0.919250, acc: 3.141602
ts: 628.468, i: 0.005371, j: 0.395996, k: -0.003296, real: 0.918213, acc: 3.141602
ts: 670.908, i: 0.008850, j: 0.398621, k: -0.007996, real: 0.917053, acc: 3.141602
ts: 708.447, i: 0.008301, j: 0.402649, k: -0.008118, real: 0.915283, acc: 3.141602
ts: 741.081, i: 0.007874, j: 0.406250, k: -0.007874, real: 0.913696, acc: 3.141602
ts: 776.266, i: 0.007629, j: 0.407593, k: -0.008911, real: 0.913086, acc: 3.141602
ts: 811.327, i: 0.007812, j: 0.405579, k: -0.011414, real: 0.913940, acc: 3.141602
ts: 843.836, i: 0.010620, j: 0.402161, k: -0.015686, real: 0.915405, acc: 3.141602
ts: 876.271, i: 0.016052, j: 0.399658, k: -0.025330, real: 0.916138, acc: 3.141602
ts: 909.165, i: 0.023071, j: 0.399963, k: -0.035522, real: 0.915527, acc: 3.141602
ts: 938.969, i: 0.028931, j: 0.399292, k: -0.044189, real: 0.915283, acc: 3.141602
ts: 970.136, i: 0.032654, j: 0.397339, k: -0.050903, real: 0.915710, acc: 3.141602
ts: 996.861, i: 0.033630, j: 0.396851, k: -0.054749, real: 0.915649, acc: 3.141602
ts: 1009.557, i: 0.033813, j: 0.396606, k: -0.056274, real: 0.915649, acc: 3.141602
ts: 1041.812, i: 0.033203, j: 0.395935, k: -0.059204, real: 0.915771, acc: 3.141602
ts: 1074.177, i: 0.029785, j: 0.393860, k: -0.062256, real: 0.916565, acc: 3.141602
ts: 1104.322, i: 0.023804, j: 0.390991, k: -0.063232, real: 0.917908, acc: 3.141602
ts: 1136.989, i: 0.020325, j: 0.387329, k: -0.065063, real: 0.919434, acc: 3.141602
ts: 1171.952, i: 0.018799, j: 0.386230, k: -0.069031, real: 0.919617, acc: 3.141602
ts: 1204.604, i: 0.017334, j: 0.386292, k: -0.074463, real: 0.919189, acc: 3.141602
